" #","Nombre","Precio","Descripción","Categoría","Subcategoría"
109,"Cava Codorníu Cuvée Clásico Semi Sec","26.80$","Cava Cuvée Clásico Semi Sec Organic Codorníu","Licores","Vinos Espumosos / Cava"
110,"Licor Manager's Blend de Whisky","8.70$","Licor elaborado con blend de whisky Manager's","Licores","Whiskies / Licores de Whisky"
111,"Antioqueño Anisado Premium Botella Negra","12.00$","Aguardiente Antioqueño Anisado Sin Azúcar","Licores","Aguardiente / Anís"
112,"Gordon's Vodka Parchita 0.7L","13.99$","Licor de vodka sabor a parchita Gordon's 0.7L","Licores","Vodka"
113,"Gordon's Vodka Uva 0.7L","13.99$","Licor de vodka sabor a uva Gordon's 0.7L","Licores","Vodka"
114,"Gordon's Vodka 0.7L","13.99$","Vodka Gordon's Original 0.7L","Licores","Vodka"
115,"Smirnoff Vodka No. 21","18.50$","Vodka Smirnoff Recipe No. 21","Licores","Vodka"
116,"Anís Baduelra 1L","7.50$","Anís marca Baduelra 30°GL 1 Litro","Licores","Aguardiente / Anís"
117,"Anís Ibiza Empaque Doypack 1L","5.50$","Anís marca Ibiza bolsa/doypack 1 Litro","Licores","Aguardiente / Anís"
118,"Anís Ibiza Botella","6.50$","Anís marca Ibiza en botella","Licores","Aguardiente / Anís"
119,"Antioqueño Anisado Botella Transparente","11.50$","Aguardiente Antioqueño Anisado 1.5L / Botella Transparente","Licores","Aguardiente / Anís"
ID,Nombre,Precio,Descripción,Categoría,Sub Categoría
120,"Ron Cacique 500 0.75L","16.20$","Ron extra añejo Cacique 0.75L","Licores","Ron"
121,"Ron Cacique Añejo 0.75L","12.00$","Ron añejo Cacique 0.75L","Licores","Ron"
122,"Ron Cacique Leyenda 0.75L","30.30$","Ron extra añejo Cacique Leyenda 0.75L","Licores","Ron Premium / Extra Añejo"
123,"Ron Cacique Añejo 1.75L","16.50$","Ron añejo Cacique presentación 1.75L","Licores","Ron"
124,"Whisky Grant's 12 Años 0.75L","33.00$","Whisky escocés Grant's 12 años 0.75L","Licores","Whiskies"
125,"Whisky Grant's Triple Wood 1L","29.60$","Whisky escocés Grant's Triple Wood 1 Litro","Licores","Whiskies"
126,"Whisky Black & White 1L","25.70$","Whisky escocés Blended Black & White 1 Litro","Licores","Whiskies"
127,"Whisky Buchanan's De Luxe 12 Años 0.75L","45.00$","Whisky escocés Buchanan's De Luxe 12 Años 0.75L","Licores","Whiskies Premium"
128,"Whisky Old Parr 12 Años 0.75L","40.70$","Whisky escocés Grand Old Parr 12 Años 0.75L","Licores","Whiskies Premium"
129,"Whisky Grand Old Parr Silver 0.75L","28.90$","Whisky escocés Old Parr Silver Chill Filtered 0.75L","Licores","Whiskies Premium"
130,"Whisky Old Parr Tropical 0.75L","30.00$","Licor a base de whisky Old Parr sabor Tropical (Mandarina y Yuzu) 0.75L","Licores","Whiskies / Licores de Whisky"
131,"Whisky Johnnie Walker Black Label 12 Años 0.70L","42.70$","Whisky escocés Johnnie Walker Black Label 12 Años 0.70L","Licores","Whiskies Premium"
