SKU,Categoria,Nombre del Producto,Peso/Presentacion,Precio (USD),Slug URL,Descripcion SEO,Meta Descripcion,Palabras Clave,Imagen Principal,Estado,Visibilidad,Inventario
0001,"Bebidas","Té Crystal 500ml","500 ML",1.40,te-crystal-500ml,"Té Crystal 500ml a 1.40. Tenemos stock.","Té Crystal 500ml por 1.40. Delivery a domicilio.","crystal, 500ml",0001.jpg,Publicado,Visible,100
0001,"Bebidas y Lácteos","Chicha El Chichero 500ml","500 ML",2.70,chicha-el-chichero-500ml,"Chicha El Chichero 500ml por 2.70. Listo para enviar.","Chicha El Chichero 500ml por 2.70. Delivery a domicilio.","chicha, chichero, 500ml",0001.jpg,Publicado,Visible,100
0001,"Bebidas","Naranjada Natulac 1 Lt","1 LT",3.60,naranjada-natulac-1-lt,"Naranjada Natulac 1 Lt a 3.60. A tu pedido.","Naranjada Natulac 1 Lt por 3.60. Delivery a domicilio.","naranjada, natulac",0001.jpg,Publicado,Visible,100
0001,"Bebidas","Agua Aguafiel 1.5 Lt","1.5 LT",1.35,agua-aguafiel-15-lt,"Agua Aguafiel 1.5 Lt por 1.35. Disponible para delivery.","Agua Aguafiel 1.5 Lt por 1.35. Delivery a domicilio.","agua, aguafiel, 1.5",0001.jpg,Publicado,Visible,100
0001,"Bebidas","Jugo Natulac 1 Lt","1 LT",2.90,jugo-natulac-1-lt,"Jugo Natulac 1 Lt a 2.90. Hacemos pedidos por delivery.","Jugo Natulac 1 Lt por 2.90. Delivery a domicilio.","jugo, natulac",0001.jpg,Publicado,Visible,100
0001,"Bebidas","Frutys Bebida Tropical 1.5 Lt","1.5 LT",1.50,frutys-bebida-tropical-15-lt,"Frutys Bebida Tropical 1.5 Lt por 1.50. Pedidos por WhatsApp.","Frutys Bebida Tropical 1.5 Lt por 1.50. Delivery a domicilio.","frutys, bebida, tropical, 1.5",0001.jpg,Publicado,Visible,100
0001,"Bebidas","Néctar La Pastoreña 1 Lt","1 LT",3.99,nectar-la-pastorena-1-lt,"Néctar La Pastoreña 1 Lt a solo 3.99. Delivery a domicilio.","Néctar La Pastoreña 1 Lt por 3.99. Delivery a domicilio.","néctar, pastoreña",0001.jpg,Publicado,Visible,100
0001,"Bebidas","Jugo Frooti 350ml","350 ML",1.30,jugo-frooti-350ml,"Jugo Frooti 350ml por 1.30. Consulta disponibilidad.","Jugo Frooti 350ml por 1.30. Delivery a domicilio.","jugo, frooti, 350ml",0001.jpg,Publicado,Visible,100
0001,"Bebidas y Lácteos","Leche Parmalat 1 Lt","1 LT",2.45,leche-parmalat-1-lt,"Llevate Leche Parmalat 1 Lt por 2.45.","Leche Parmalat 1 Lt por 2.45. Delivery a domicilio.","leche, parmalat",0001.jpg,Publicado,Visible,100
0001,"Bebidas","Naranjada Ricci 200ml","200 ML",1.00,naranjada-ricci-200ml,"Naranjada Ricci 200ml por 1.00. Pide el tuyo.","Naranjada Ricci 200ml por 1.00. Delivery a domicilio.","naranjada, ricci, 200ml",0001.jpg,Publicado,Visible,100
0001,"Bebidas","Naranjada Natulac 250ml","250 ML",1.70,naranjada-natulac-250ml,"Naranjada Natulac 250ml a 1.70. Tenemos stock.","Naranjada Natulac 250ml por 1.70. Delivery a domicilio.","naranjada, natulac, 250ml",0001.jpg,Publicado,Visible,100
0001,"Bebidas","Té Durazno/Limón Parmalat 1.5 Lt","1.5 LT",4.50,te-duraznolimon-parmalat-15-lt,"Té Durazno/Limón Parmalat 1.5 Lt por 4.50. Listo para enviar.","Té Durazno/Limón Parmalat 1.5 Lt por 4.50. Delivery a domicilio.","durazno/limón, parmalat, 1.5",0001.jpg,Publicado,Visible,100
0001,"Bebidas","Té Parmalat 1 Lt","1 LT",4.80,te-parmalat-1-lt,"Té Parmalat 1 Lt a 4.80. A tu pedido.","Té Parmalat 1 Lt por 4.80. Delivery a domicilio.","parmalat",0001.jpg,Publicado,Visible,100
0001,"Lácteos","Migurt 750g","750 G",8.30,migurt-750g,"Migurt 750g por 8.30. Disponible para delivery.","Migurt 750g por 8.30. Delivery a domicilio.","migurt, 750g",0001.jpg,Publicado,Visible,100
0001,"Parrilla y Carbón","Carbón Vegetal Brixia Fidelis 2kg","2 KG",4.30,carbon-vegetal-brixia-fidelis-2kg,"Carbón Vegetal Brixia Fidelis 2kg a 4.30. Hacemos pedidos por delivery.","Carbón Vegetal Brixia Fidelis 2kg por 4.30. Delivery a domicilio.","carbón, vegetal, brixia, fidelis, 2kg",0001.jpg,Publicado,Visible,100
0001,"Parrilla y Carbón","Carbón Rosado","UND",10.80,carbon-rosado,"Carbón Rosado por 10.80. Pedidos por WhatsApp.","Carbón Rosado por 10.80. Delivery a domicilio.","carbón, rosado",0001.jpg,Publicado,Visible,100
0001,"Snacks y Frituras","Papas Chips Piter 71g","71 G",1.90,papas-chips-piter-71g,"Papas Chips Piter 71g a solo 1.90. Delivery a domicilio.","Papas Chips Piter 71g por 1.90. Delivery a domicilio.","papas, chips, piter, 71g",0001.jpg,Publicado,Visible,100
0001,"Snacks y Frituras","Tostón Salseritos 270g","270 G",4.99,toston-salseritos-270g,"Tostón Salseritos 270g por 4.99. Consulta disponibilidad.","Tostón Salseritos 270g por 4.99. Delivery a domicilio.","tostón, salseritos, 270g",0001.jpg,Publicado,Visible,100
0001,"Snacks y Frituras","Chicharrones Gralo 40g","40 G",2.80,chicharrones-gralo-40g,"Llevate Chicharrones Gralo 40g por 2.80.","Chicharrones Gralo 40g por 2.80. Delivery a domicilio.","chicharrones, gralo, 40g",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591794000503 | Producto: FRIJOL PICO NEGRO PANTERA 454G | Precio:","",1.70,codigo-7591794000503-producto-frijol-pico-negro-pantera-454g-precio,"Código: 7591794000503 | Producto: FRIJOL PICO NEGRO PANTERA 454G | Precio: por 1.70. Pide el tuyo.","Código: 7591794000503 | Producto: FRIJOL PICO NEGRO PANTERA 454G | Precio: por 1.70. Delivery a domicilio.","código:, producto:, frijol, pico, negro",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591794000855 | Producto: ARVEJAS VERDE PARTIDA PANTERA 400GR | Precio:","",1.80,codigo-7591794000855-producto-arvejas-verde-partida-pantera-400gr-precio,"Código: 7591794000855 | Producto: ARVEJAS VERDE PARTIDA PANTERA 400GR | Precio: a 1.80. Tenemos stock.","Código: 7591794000855 | Producto: ARVEJAS VERDE PARTIDA PANTERA 400GR | Precio: por 1.80. Delivery a domicilio.","código:, producto:, arvejas, verde, partida",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591473004976 | Producto: MAIZ PARA COTUFA MARY 400GR | Precio:","",1.60,codigo-7591473004976-producto-maiz-para-cotufa-mary-400gr-precio,"Código: 7591473004976 | Producto: MAIZ PARA COTUFA MARY 400GR | Precio: por 1.60. Listo para enviar.","Código: 7591473004976 | Producto: MAIZ PARA COTUFA MARY 400GR | Precio: por 1.60. Delivery a domicilio.","código:, producto:, maiz, para, cotufa",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591794090092 | Producto: MAIZ PARA COTUFAS PANTERA 500G | Precio:","",2.20,codigo-7591794090092-producto-maiz-para-cotufas-pantera-500g-precio,"Código: 7591794090092 | Producto: MAIZ PARA COTUFAS PANTERA 500G | Precio: a 2.20. A tu pedido.","Código: 7591794090092 | Producto: MAIZ PARA COTUFAS PANTERA 500G | Precio: por 2.20. Delivery a domicilio.","código:, producto:, maiz, para, cotufas",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591002000127 | Producto: ARROZ PRIMOR CLASICO 1KG | Precio:","",1.70,codigo-7591002000127-producto-arroz-primor-clasico-1kg-precio,"Código: 7591002000127 | Producto: ARROZ PRIMOR CLASICO 1KG | Precio: por 1.70. Disponible para delivery.","Código: 7591002000127 | Producto: ARROZ PRIMOR CLASICO 1KG | Precio: por 1.70. Delivery a domicilio.","código:, producto:, arroz, primor, clasico",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591473005362 | Producto: ARROZ MARY TRADICIONAL 900GR | Precio:","",1.20,codigo-7591473005362-producto-arroz-mary-tradicional-900gr-precio,"Código: 7591473005362 | Producto: ARROZ MARY TRADICIONAL 900GR | Precio: a 1.20. Hacemos pedidos por delivery.","Código: 7591473005362 | Producto: ARROZ MARY TRADICIONAL 900GR | Precio: por 1.20. Delivery a domicilio.","código:, producto:, arroz, mary, tradicional",0001.jpg,Publicado,Visible,100
0001,"","Código: 7599450000027 | Producto: ARROZ FAVORITO TIPO1 1KG | Precio:","",1.40,codigo-7599450000027-producto-arroz-favorito-tipo1-1kg-precio,"Código: 7599450000027 | Producto: ARROZ FAVORITO TIPO1 1KG | Precio: por 1.40. Pedidos por WhatsApp.","Código: 7599450000027 | Producto: ARROZ FAVORITO TIPO1 1KG | Precio: por 1.40. Delivery a domicilio.","código:, producto:, arroz, favorito, tipo1",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591151123401 | Producto: FIDEO CAPRI 250GR | Precio:","",1.90,codigo-7591151123401-producto-fideo-capri-250gr-precio,"Código: 7591151123401 | Producto: FIDEO CAPRI 250GR | Precio: a solo 1.90. Delivery a domicilio.","Código: 7591151123401 | Producto: FIDEO CAPRI 250GR | Precio: por 1.90. Delivery a domicilio.","código:, producto:, fideo, capri, 250gr",0001.jpg,Publicado,Visible,100
0001,"","Código: 7896022201906 | Producto: RENATA EXPRESS SABOR A CARNE 85G | Precio:","",1.00,codigo-7896022201906-producto-renata-express-sabor-a-carne-85g-precio,"Código: 7896022201906 | Producto: RENATA EXPRESS SABOR A CARNE 85G | Precio: por 1.00. Consulta disponibilidad.","Código: 7896022201906 | Producto: RENATA EXPRESS SABOR A CARNE 85G | Precio: por 1.00. Delivery a domicilio.","código:, producto:, renata, express, sabor",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591674001231 | Producto: PASTA PARA PASTICHO SINDONI 250G | Precio:","",1.90,codigo-7591674001231-producto-pasta-para-pasticho-sindoni-250g-precio,"Llevate Código: 7591674001231 | Producto: PASTA PARA PASTICHO SINDONI 250G | Precio: por 1.90.","Código: 7591674001231 | Producto: PASTA PARA PASTICHO SINDONI 250G | Precio: por 1.90. Delivery a domicilio.","código:, producto:, pasta, para, pasticho",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591002000851 | Producto: PASTA DEDALES PRIMOR 1KG | Precio:","",2.30,codigo-7591002000851-producto-pasta-dedales-primor-1kg-precio,"Código: 7591002000851 | Producto: PASTA DEDALES PRIMOR 1KG | Precio: por 2.30. Pide el tuyo.","Código: 7591002000851 | Producto: PASTA DEDALES PRIMOR 1KG | Precio: por 2.30. Delivery a domicilio.","código:, producto:, pasta, dedales, primor",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591002000318 | Producto: PASTA TORNILLO PRIMOR 1KG | Precio:","",2.30,codigo-7591002000318-producto-pasta-tornillo-primor-1kg-precio,"Código: 7591002000318 | Producto: PASTA TORNILLO PRIMOR 1KG | Precio: a 2.30. Tenemos stock.","Código: 7591002000318 | Producto: PASTA TORNILLO PRIMOR 1KG | Precio: por 2.30. Delivery a domicilio.","código:, producto:, pasta, tornillo, primor",0001.jpg,Publicado,Visible,100
0001,"","Código: 7597417000462 | Producto: PASTA MARY PLUMA SUPERIOR 1KG | Precio:","",2.80,codigo-7597417000462-producto-pasta-mary-pluma-superior-1kg-precio,"Código: 7597417000462 | Producto: PASTA MARY PLUMA SUPERIOR 1KG | Precio: por 2.80. Listo para enviar.","Código: 7597417000462 | Producto: PASTA MARY PLUMA SUPERIOR 1KG | Precio: por 2.80. Delivery a domicilio.","código:, producto:, pasta, mary, pluma",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591002400750 | Producto: PASTA PLUMITAS EXTRA ESPECIAL PRIMOR 1KG | Precio:","",2.00,codigo-7591002400750-producto-pasta-plumitas-extra-especial-primor-1kg-precio,"Código: 7591002400750 | Producto: PASTA PLUMITAS EXTRA ESPECIAL PRIMOR 1KG | Precio: a 2.00. A tu pedido.","Código: 7591002400750 | Producto: PASTA PLUMITAS EXTRA ESPECIAL PRIMOR 1KG | Precio: por 2.00. Delivery a domicilio.","código:, producto:, pasta, plumitas, extra",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591002000295 | Producto: PASTA PLUMITAS PRIMOR 1KG | Precio:","",2.80,codigo-7591002000295-producto-pasta-plumitas-primor-1kg-precio,"Código: 7591002000295 | Producto: PASTA PLUMITAS PRIMOR 1KG | Precio: por 2.80. Disponible para delivery.","Código: 7591002000295 | Producto: PASTA PLUMITAS PRIMOR 1KG | Precio: por 2.80. Delivery a domicilio.","código:, producto:, pasta, plumitas, primor",0001.jpg,Publicado,Visible,100
0001,"","Código: 7599450000133 | Producto: PASTA DELLA NONNA PREMIUM PLUMAS 1KG | Precio:","",2.99,codigo-7599450000133-producto-pasta-della-nonna-premium-plumas-1kg-precio,"Código: 7599450000133 | Producto: PASTA DELLA NONNA PREMIUM PLUMAS 1KG | Precio: a 2.99. Hacemos pedidos por delivery.","Código: 7599450000133 | Producto: PASTA DELLA NONNA PREMIUM PLUMAS 1KG | Precio: por 2.99. Delivery a domicilio.","código:, producto:, pasta, della, nonna",0001.jpg,Publicado,Visible,100
0001,"","Código: 7599450000157 | Producto: PASTA DELLA NONNA PREMIUM TORNILLO 1KG | Precio:","",2.40,codigo-7599450000157-producto-pasta-della-nonna-premium-tornillo-1kg-precio,"Código: 7599450000157 | Producto: PASTA DELLA NONNA PREMIUM TORNILLO 1KG | Precio: por 2.40. Pedidos por WhatsApp.","Código: 7599450000157 | Producto: PASTA DELLA NONNA PREMIUM TORNILLO 1KG | Precio: por 2.40. Delivery a domicilio.","código:, producto:, pasta, della, nonna",0001.jpg,Publicado,Visible,100
0001,"","Código: 7599450000119 | Producto: PASTA DELLA NONNA PREMIUM VERMICELLI 1KG | Precio:","",2.40,codigo-7599450000119-producto-pasta-della-nonna-premium-vermicelli-1kg-precio,"Código: 7599450000119 | Producto: PASTA DELLA NONNA PREMIUM VERMICELLI 1KG | Precio: a solo 2.40. Delivery a domicilio.","Código: 7599450000119 | Producto: PASTA DELLA NONNA PREMIUM VERMICELLI 1KG | Precio: por 2.40. Delivery a domicilio.","código:, producto:, pasta, della, nonna",0001.jpg,Publicado,Visible,100
0001,"","Código: 7896022200756 | Producto: PASTA GALO ESPAGUETE 500GR | Precio:","",1.60,codigo-7896022200756-producto-pasta-galo-espaguete-500gr-precio,"Código: 7896022200756 | Producto: PASTA GALO ESPAGUETE 500GR | Precio: por 1.60. Consulta disponibilidad.","Código: 7896022200756 | Producto: PASTA GALO ESPAGUETE 500GR | Precio: por 1.60. Delivery a domicilio.","código:, producto:, pasta, galo, espaguete",0001.jpg,Publicado,Visible,100
0001,"","Código: 7896022200634 | Producto: PASTA GALO PARAFUSO 500GR | Precio:","",1.60,codigo-7896022200634-producto-pasta-galo-parafuso-500gr-precio,"Llevate Código: 7896022200634 | Producto: PASTA GALO PARAFUSO 500GR | Precio: por 1.60.","Código: 7896022200634 | Producto: PASTA GALO PARAFUSO 500GR | Precio: por 1.60. Delivery a domicilio.","código:, producto:, pasta, galo, parafuso",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591002000271 | Producto: PASTA PRIMOR VERMICELLI 1KG | Precio:","",2.10,codigo-7591002000271-producto-pasta-primor-vermicelli-1kg-precio,"Código: 7591002000271 | Producto: PASTA PRIMOR VERMICELLI 1KG | Precio: por 2.10. Pide el tuyo.","Código: 7591002000271 | Producto: PASTA PRIMOR VERMICELLI 1KG | Precio: por 2.10. Delivery a domicilio.","código:, producto:, pasta, primor, vermicelli",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591002000264 | Producto: PASTA PRIMOR VERMICELLI 500GR | Precio:","",1.10,codigo-7591002000264-producto-pasta-primor-vermicelli-500gr-precio,"Código: 7591002000264 | Producto: PASTA PRIMOR VERMICELLI 500GR | Precio: a 1.10. Tenemos stock.","Código: 7591002000264 | Producto: PASTA PRIMOR VERMICELLI 500GR | Precio: por 1.10. Delivery a domicilio.","código:, producto:, pasta, primor, vermicelli",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591002400767 | Producto: PASTA EXTRA ESPECIAL VERMICELLI PRIMOR 1KG | Precio:","",1.90,codigo-7591002400767-producto-pasta-extra-especial-vermicelli-primor-1kg-precio,"Código: 7591002400767 | Producto: PASTA EXTRA ESPECIAL VERMICELLI PRIMOR 1KG | Precio: por 1.90. Listo para enviar.","Código: 7591002400767 | Producto: PASTA EXTRA ESPECIAL VERMICELLI PRIMOR 1KG | Precio: por 1.90. Delivery a domicilio.","código:, producto:, pasta, extra, especial",0001.jpg,Publicado,Visible,100
0001,"","Código: 7597417000691 | Producto: HARINA DE TRIGO TODO USO MARY 900GR | Precio:","",1.40,codigo-7597417000691-producto-harina-de-trigo-todo-uso-mary-900gr-precio,"Código: 7597417000691 | Producto: HARINA DE TRIGO TODO USO MARY 900GR | Precio: a 1.40. A tu pedido.","Código: 7597417000691 | Producto: HARINA DE TRIGO TODO USO MARY 900GR | Precio: por 1.40. Delivery a domicilio.","código:, producto:, harina, trigo, todo",0001.jpg,Publicado,Visible,100
0001,"","Código: 7597417000707 | Producto: HARINA DE TRIGO LEUDANTE MARY 900GR | Precio:","",1.50,codigo-7597417000707-producto-harina-de-trigo-leudante-mary-900gr-precio,"Código: 7597417000707 | Producto: HARINA DE TRIGO LEUDANTE MARY 900GR | Precio: por 1.50. Disponible para delivery.","Código: 7597417000707 | Producto: HARINA DE TRIGO LEUDANTE MARY 900GR | Precio: por 1.50. Delivery a domicilio.","código:, producto:, harina, trigo, leudante",0001.jpg,Publicado,Visible,100
0001,"","Código: 7597079000022 | Producto: HARINANA HARINA DE YUCA BLANCA 500GR | Precio:","",5.30,codigo-7597079000022-producto-harinana-harina-de-yuca-blanca-500gr-precio,"Código: 7597079000022 | Producto: HARINANA HARINA DE YUCA BLANCA 500GR | Precio: a 5.30. Hacemos pedidos por delivery.","Código: 7597079000022 | Producto: HARINANA HARINA DE YUCA BLANCA 500GR | Precio: por 5.30. Delivery a domicilio.","código:, producto:, harinana, harina, yuca",0001.jpg,Publicado,Visible,100
0001,"","Código: 7599404000592 | Producto: HARINA DE TRIGO REPOSTERA AVEIRO 1KG | Precio:","",1.50,codigo-7599404000592-producto-harina-de-trigo-repostera-aveiro-1kg-precio,"Código: 7599404000592 | Producto: HARINA DE TRIGO REPOSTERA AVEIRO 1KG | Precio: por 1.50. Pedidos por WhatsApp.","Código: 7599404000592 | Producto: HARINA DE TRIGO REPOSTERA AVEIRO 1KG | Precio: por 1.50. Delivery a domicilio.","código:, producto:, harina, trigo, repostera",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591827031511 | Producto: HARINA DE MAIZ BLANCO LUCHAREPA 1KG | Precio:","",1.50,codigo-7591827031511-producto-harina-de-maiz-blanco-lucharepa-1kg-precio,"Código: 7591827031511 | Producto: HARINA DE MAIZ BLANCO LUCHAREPA 1KG | Precio: a solo 1.50. Delivery a domicilio.","Código: 7591827031511 | Producto: HARINA DE MAIZ BLANCO LUCHAREPA 1KG | Precio: por 1.50. Delivery a domicilio.","código:, producto:, harina, maiz, blanco",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591002200268 | Producto: HARINA PAN BLANCA 2KG | Precio:","",3.20,codigo-7591002200268-producto-harina-pan-blanca-2kg-precio,"Código: 7591002200268 | Producto: HARINA PAN BLANCA 2KG | Precio: por 3.20. Consulta disponibilidad.","Código: 7591002200268 | Producto: HARINA PAN BLANCA 2KG | Precio: por 3.20. Delivery a domicilio.","código:, producto:, harina, pan, blanca",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591002000011 | Producto: HARINA PAN BLANCA 1KG | Precio:","",1.70,codigo-7591002000011-producto-harina-pan-blanca-1kg-precio,"Llevate Código: 7591002000011 | Producto: HARINA PAN BLANCA 1KG | Precio: por 1.70.","Código: 7591002000011 | Producto: HARINA PAN BLANCA 1KG | Precio: por 1.70. Delivery a domicilio.","código:, producto:, harina, pan, blanca",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591002200206 | Producto: PAN AREPITAS DULCE 500GR | Precio:","",3.10,codigo-7591002200206-producto-pan-arepitas-dulce-500gr-precio,"Código: 7591002200206 | Producto: PAN AREPITAS DULCE 500GR | Precio: por 3.10. Pide el tuyo.","Código: 7591002200206 | Producto: PAN AREPITAS DULCE 500GR | Precio: por 3.10. Delivery a domicilio.","código:, producto:, pan, arepitas, dulce",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591049002262 | Producto: ACEITE DE SOYA VATEL 800ML | Precio:","",4.80,codigo-7591049002262-producto-aceite-de-soya-vatel-800ml-precio,"Código: 7591049002262 | Producto: ACEITE DE SOYA VATEL 800ML | Precio: a 4.80. Tenemos stock.","Código: 7591049002262 | Producto: ACEITE DE SOYA VATEL 800ML | Precio: por 4.80. Delivery a domicilio.","código:, producto:, aceite, soya, vatel",0001.jpg,Publicado,Visible,100
0001,"","Código: 7591002000745 | Producto: ACEITE MAZEITE 1LTR | Precio:","",5.80,codigo-7591002000745-producto-aceite-mazeite-1ltr-precio,"Código: 7591002000745 | Producto: ACEITE MAZEITE 1LTR | Precio: por 5.80. Listo para enviar.","Código: 7591002000745 | Producto: ACEITE MAZEITE 1LTR | Precio: por 5.80. Delivery a domicilio.","código:, producto:, aceite, mazeite, 1ltr",0001.jpg,Publicado,Visible,100
0001,"","Código: 719503061028 | Producto: VINAGRE MAVESA 500ML | Precio:","",1.70,codigo-719503061028-producto-vinagre-mavesa-500ml-precio,"Código: 719503061028 | Producto: VINAGRE MAVESA 500ML | Precio: a 1.70. A tu pedido.","Código: 719503061028 | Producto: VINAGRE MAVESA 500ML | Precio: por 1.70. Delivery a domicilio.","código:, producto:, vinagre, mavesa, 500ml",0001.jpg,Publicado,Visible,100
0001,"","Código: 8964001506102 | Producto: ACEITE DE COCO COCAY 250ML | Precio:","",5.40,codigo-8964001506102-producto-aceite-de-coco-cocay-250ml-precio,"Código: 8964001506102 | Producto: ACEITE DE COCO COCAY 250ML | Precio: por 5.40. Disponible para delivery.","Código: 8964001506102 | Producto: ACEITE DE COCO COCAY 250ML | Precio: por 5.40. Delivery a domicilio.","código:, producto:, aceite, coco, cocay",0001.jpg,Publicado,Visible,100
